Scenario,Strategy,ReserveSize,Iteration,AvDensity,LogRatCorals,WVTraitSp1,WVTraitSp2,Ext1,Ext2,ExtBoth,V,D
6,5,0,1,0.208983554,-11.18677087,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,5,0.1,1,0.281825511,-11.18677087,1.032816159,1.032799514,1,NA,NA,0.4,0.001
6,5,0.2,1,0.351895182,-11.18677087,1.039355541,1.039345649,1,NA,NA,0.4,0.001
6,5,0.3,1,0.415027207,-11.18677087,1.04130895,1.041301444,1,NA,NA,0.4,0.001
6,5,0.5,1,0.530839059,-11.18677087,1.041481239,1.041477321,1,NA,NA,0.4,0.001
6,6,0,1,0.208983554,-10.98751267,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,6,0.1,1,0.276748699,-10.98751267,1.036828855,1.036812671,1,NA,NA,0.4,0.001
6,6,0.2,1,0.351567157,-10.98751267,1.036899715,1.036889779,1,NA,NA,0.4,0.001
6,6,0.3,1,0.426079931,-10.98751267,1.038520652,1.038512133,1,NA,NA,0.4,0.001
6,6,0.5,1,0.557531917,-10.98751267,1.038084668,1.038079283,1,NA,NA,0.4,0.001
6,7,0,1,0.208983554,-10.77357047,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,7,0.1,1,0.284459859,-10.77357047,1.041413236,1.041399876,1,NA,NA,0.4,0.001
6,7,0.2,1,0.350716162,-10.77357047,1.038837684,1.038824127,1,NA,NA,0.4,0.001
6,7,0.3,1,0.416992996,-10.77357047,1.039585553,1.039576261,1,NA,NA,0.4,0.001
6,7,0.5,1,0.510808709,-10.77357047,1.043532514,1.043527127,1,NA,NA,0.4,0.001
6,8,0,1,0.208983554,-10.8314563,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,8,0.1,1,0.285520279,-10.8314563,1.034569029,1.034555293,1,NA,NA,0.4,0.001
6,8,0.2,1,0.352626546,-10.8314563,1.037549773,1.037539898,1,NA,NA,0.4,0.001
6,8,0.3,1,0.412040852,-10.8314563,1.039632944,1.039625282,1,NA,NA,0.4,0.001
6,8,0.5,1,0.51504927,-10.8314563,1.042614338,1.042608912,1,NA,NA,0.4,0.001
6,9,0,1,0.208983554,-10.78511225,1.061390022,1.061369984,1,NA,NA,0.4,0.001
6,9,0.1,1,0.278325444,-10.78511225,1.039495233,1.039479999,1,NA,NA,0.4,0.001
6,9,0.2,1,0.348014292,-10.78511225,1.040705651,1.040694834,1,NA,NA,0.4,0.001
6,9,0.3,1,0.413861623,-10.78511225,1.039778609,1.039769597,1,NA,NA,0.4,0.001
